,Cluster,Word_Type,Weights
118,8,limited,8.036144793471079e-05
119,15,ben,2.2322624426308556e-05
120,4,rhodes,1.3393574655785133e-05
121,5,said,0.0010424665607086
122,5,such,0.0005915495472971
123,4,thing,0.000180813257853
124,1,fact,0.0018617068771541
125,5,gone,6.696787327892565e-05
126,5,out,0.0014219511759558
127,5,his,0.0020358233476793
128,5,way,0.0005178848866903
129,5,make,0.0006027108595103
130,5,sure,0.0001004518099183
131,5,he,0.0031050770576995
132,4,clear,0.0004888654749361
133,5,when,0.0011987249316927
134,8,criticizing,2.4554886868939407e-05
135,8,politician,5.134203618050967e-05
136,8,people,0.003131864207011
137,4,news,0.0009152276014786
138,4,lie,0.0008437952033144
139,8,withdrawal,4.464524885261711e-05
140,8,plan,0.0002946586424272
141,5,put,0.0001785809954104
142,5,place,0.0002321552940336
143,8,trump,0.0028327410396985
144,5,before,0.000477704162723
145,5,ever,0.0001584906334267
146,5,got,0.000247781131132
147,5,into,0.0005402075111166
148,8,office,0.0003058199546404
149,1,even,0.0007321820811829
150,5,still,0.0007031626694287
151,8,evacuated,6.027108595103309e-05
152,5,since,0.0006674464703466
153,5,end,0.0001339357465578
154,8,july,0.0002276907691483
155,6,tweet,0.0043953247495401
156,19,makes,0.0004308266514277
157,5,lot,9.152276014786506e-05
158,4,sense,9.152276014786506e-05
159,8,jillian,4.46452488526171e-06
160,8,work,0.000410736289444
161,8,home,0.0001428647963283
162,4,setup,4.46452488526171e-06
163,5,just,0.0010223761987249
164,8,test,0.0006004785970677
165,15,earthquakes,0.0016295515831205
166,5,are,0.0087370752004571
167,0,scientifically,3.571619908209368e-05
168,8,predictable,6.6967873278925655e-06
169,6,tweets,0.0002678714931157
170,5,like,0.0037278782791935
171,5,can,0.0021719913566798
172,5,cause,0.0004509170134114
173,8,panic,0.000265639230673
174,8,areas,5.580656106577138e-05
175,8,delegates,6.6967873278925655e-06
176,8,tested,0.0002009036198367
177,8,results,0.0011339893208564
178,8,negative,0.0001339357465578
179,8,attending,2.0090361983677695e-05
180,8,indoor,2.6787149311570265e-05
181,8,event,0.0002567101809025
182,1,but,0.0040895047948997
183,4,publish,1.3393574655785133e-05
184,5,many,0.0010804150222333
185,8,infected,0.0003772523528046
186,5,those,0.0008504919906423
187,8,black,0.0002276907691483
188,4,material,0.0003571619908209
189,0,polyp,4.46452488526171e-06
190,4,stated,0.0004018072396735
191,4,video,0.0012924799542832
192,12,polypropylene,4.46452488526171e-06
193,4,fibers,4.46452488526171e-06
194,5,turn,5.803882350840223e-05
195,4,surface,2.2322624426308556e-05
196,8,mask,0.0003817168776898
197,0,famped,2.232262442630855e-06
198,5,with,0.0043663053377859
199,8,boiling,2.232262442630855e-06
200,8,water,0.0001495615836562
201,5,may,0.0009062985517081
202,5,serious,0.0001919745700662
203,8,harm,0.000223226244263
204,5,because,0.0009375502259049
205,8,lead,0.0005022590495919
206,5,other,0.0012902476918406
207,8,stop,0.0001741164705252
208,8,wearing,0.0001763487329678
209,8,masks,0.0005491365608871
210,19,gets,4.241298640998625e-05
211,8,warmer,3.794846152472454e-05
212,5,than,0.0035515295462256
213,5,certain,0.0001562583709841
214,5,level,0.0001361680090004
215,0,ozgur,2.232262442630855e-06
216,0,demirtas,2.232262442630855e-06
217,0,akbank,2.232262442630855e-06
218,0,yonetim,2.232262442630855e-06
219,0,kurulunda,2.232262442630855e-06
220,0,icraci,2.232262442630855e-06
221,0,uye,2.232262442630855e-06
222,0,konumunda,2.232262442630855e-06
223,0,degil,4.46452488526171e-06
224,0,akbank'in,2.232262442630855e-06
225,8,yasadigi,2.232262442630855e-06
226,5,sorun,2.232262442630855e-06
