,Cluster,Word_Type,Weights
438,2,corroboration,4.46452488526171e-06
439,8,steven,1.1161312213154276e-05
440,10,koonin's,2.232262442630855e-06
441,18,past,0.0003727878279193
442,1,association,0.000102684072361
443,7,bp,6.6967873278925655e-06
444,12,wasn't,7.812918549207993e-05
445,12,disclosed,1.1161312213154276e-05
446,1,mitch,2.6787149311570265e-05
447,18,daniels,2.232262442630855e-06
448,12,director,0.000120542171902
449,7,omb,2.232262442630855e-06
450,18,george,0.0001093808596889
451,10,w,0.0001674196831973
452,12,bush,7.812918549207993e-05
453,12,touting,1.1161312213154276e-05
454,12,university,0.0001361680090004
455,18,administrative,2.232262442630855e-06
456,3,role,0.0001183099094594
457,7,misleading,0.0014465060628247
458,12,he's,9.821954747575764e-05
459,1,scientist,2.901941175420112e-05
460,3,himself,0.0001361680090004
461,7,testing,0.0003750200903619
462,7,ui,1.3393574655785133e-05
463,7,guided,4.46452488526171e-06
464,1,joke,0.0004263621265424
465,3,marking,4.46452488526171e-06
466,7,providing,0.0001250066967873
467,7,sc,1.785809954104684e-05
468,11,vacancies,4.46452488526171e-06
469,3,necessary,0.0001160776470168
470,12,anti-stimulus,2.232262442630855e-06
471,7,anti-unemployment,2.232262442630855e-06
472,7,rhetoric,9.598728503312675e-05
473,7,supported,0.000145097058771
474,7,facts,0.0004509170134114
475,3,wsj,1.1161312213154276e-05
476,7,week,0.0002857295926567
477,1,extra,2.901941175420112e-05
478,18,unemployment,7.366466060681822e-05
479,7,aid,6.696787327892565e-05
480,18,deterring,6.6967873278925655e-06
481,12,seeking,5.580656106577138e-05
482,18,previous,0.0001785809954104
483,18,stimulus,0.0001004518099183
484,18,discusses,2.2322624426308556e-05
485,7,relevant,8.036144793471079e-05
486,13,studies,0.0003348393663946
487,3,completely,0.0002165294569351
488,7,fabricated,5.580656106577138e-05
489,10,statistic,2.2322624426308556e-05
490,13,vaccine,0.0021876171937782
491,7,absurd,3.571619908209368e-05
492,7,propaganda,0.0001875100451809
493,1,appears,0.0002678714931157
494,18,part,0.0006763755201171
495,7,coordinated,2.901941175420112e-05
496,7,attempt,0.000247781131132
497,6,insinuate,1.1161312213154276e-05
498,6,censored,1.1161312213154276e-05
499,7,internal,4.01807239673554e-05
500,7,emails,2.0090361983677695e-05
501,10,robinhood,0.0001071485972462
502,7,insider,3.125167419683197e-05
503,3,however,0.0004910977373787
504,7,per,0.0006786077825597
505,10,screenshots,2.901941175420112e-05
506,7,image,0.0006138721717234
507,10,upload,8.92904977052342e-06
508,7,screen,4.01807239673554e-05
509,3,some,0.0008661178277407
510,7,replies,5.357429862314053e-05
